RunID,N,K,outLen,mode,padding,cval,time
SLURM_16255,13,64,13,same,zero,0,5.29e-06
SLURM_16256,13,65,13,same,zero,0,3.47e-06
SLURM_16257,13,66,13,same,zero,0,5.25e-06
SLURM_16258,13,67,13,same,zero,0,5.1e-06
SLURM_16259,13,68,13,same,zero,0,4.47e-06
SLURM_16260,13,69,13,same,zero,0,4.44e-06
SLURM_16261,13,70,13,same,zero,0,6.75e-06
SLURM_16262,13,71,13,same,zero,0,4.82e-06
SLURM_16263,13,72,13,same,zero,0,3.43e-06
SLURM_16264,13,73,13,same,zero,0,3.35e-06
SLURM_16265,13,74,13,same,zero,0,4.7e-06
SLURM_16266,13,75,13,same,zero,0,3.58e-06
SLURM_16267,13,76,13,same,zero,0,4.51e-06
SLURM_16268,13,77,13,same,zero,0,3.99e-06
SLURM_16269,13,78,13,same,zero,0,5.03e-06
SLURM_16270,13,79,13,same,zero,0,4.43e-06
SLURM_16271,13,80,13,same,zero,0,4.04e-06
SLURM_16272,13,81,13,same,zero,0,4.12e-06
SLURM_16273,13,82,13,same,zero,0,3.71e-06
SLURM_16274,13,83,13,same,zero,0,3.55e-06
SLURM_16275,13,84,13,same,zero,0,3.69e-06
SLURM_16276,13,85,13,same,zero,0,3.61e-06
SLURM_16277,13,86,13,same,zero,0,4.57e-06
SLURM_16278,13,87,13,same,zero,0,3.83e-06
SLURM_16279,13,88,13,same,zero,0,3.62e-06
SLURM_16280,13,89,13,same,zero,0,4.2e-06
SLURM_16281,13,90,13,same,zero,0,3.67e-06
SLURM_16282,13,91,13,same,zero,0,3.89e-06
SLURM_16283,13,92,13,same,zero,0,3.94e-06
SLURM_16284,13,93,13,same,zero,0,3.99e-06
SLURM_16285,13,94,13,same,zero,0,4.13e-06
SLURM_16286,13,95,13,same,zero,0,4.43e-06
SLURM_16287,13,96,13,same,zero,0,5.46e-06
SLURM_16288,13,97,13,same,zero,0,4.76e-06
SLURM_16289,13,98,13,same,zero,0,4.95e-06
SLURM_16290,13,99,13,same,zero,0,4.19e-06
SLURM_16291,13,100,13,same,zero,0,4.35e-06
SLURM_16292,14,11,14,same,zero,0,3.4e-06
SLURM_16293,14,12,14,same,zero,0,3.38e-06
SLURM_16294,14,13,14,same,zero,0,3.56e-06
SLURM_16295,14,14,14,same,zero,0,2.67e-06
SLURM_16296,14,15,14,same,zero,0,2.94e-06
SLURM_16297,14,16,14,same,zero,0,2.71e-06
SLURM_16298,14,17,14,same,zero,0,2.97e-06
SLURM_16299,14,18,14,same,zero,0,2.66e-06
SLURM_16300,14,19,14,same,zero,0,3.26e-06
SLURM_16301,14,20,14,same,zero,0,3.27e-06
SLURM_16302,14,21,14,same,zero,0,2.79e-06
SLURM_16303,14,22,14,same,zero,0,4.02e-06
SLURM_16304,14,23,14,same,zero,0,5.15e-06
SLURM_16305,14,24,14,same,zero,0,3.14e-06
SLURM_16306,14,25,14,same,zero,0,3.7e-06
SLURM_16307,14,26,14,same,zero,0,3.06e-06
SLURM_16308,14,27,14,same,zero,0,4.53e-06
SLURM_16309,14,28,14,same,zero,0,2.92e-06
SLURM_16310,14,29,14,same,zero,0,4.59e-06
SLURM_16311,14,30,14,same,zero,0,4.06e-06
SLURM_16312,14,31,14,same,zero,0,3.12e-06
SLURM_16313,14,32,14,same,zero,0,3.22e-06
SLURM_16314,14,33,14,same,zero,0,3.67e-06
SLURM_16315,14,34,14,same,zero,0,3.4e-06
SLURM_16316,14,35,14,same,zero,0,4.41e-06
SLURM_16317,14,36,14,same,zero,0,3.61e-06
SLURM_16318,14,37,14,same,zero,0,3.1e-06
SLURM_16319,14,38,14,same,zero,0,3.79e-06
SLURM_16320,14,39,14,same,zero,0,4.02e-06
SLURM_16321,14,40,14,same,zero,0,4.2e-06
SLURM_16322,14,41,14,same,zero,0,4.26e-06
SLURM_16323,14,42,14,same,zero,0,3.2e-06
SLURM_16324,14,43,14,same,zero,0,4.56e-06
SLURM_16325,14,44,14,same,zero,0,4.94e-06
SLURM_16326,14,45,14,same,zero,0,4.45e-06
